,index,location,bhk,total_sqft,bath,price,encoded_loc
0,0,Electronic City Phase II,2,1056.0,2.0,39.07,75
1,1,Chikka Tirupathi,4,2600.0,5.0,120.0,57
2,2,Uttarahalli,3,1440.0,2.0,62.0,216
3,3,Lingadheeranahalli,3,1521.0,3.0,95.0,154
4,4,Kothanur,2,1200.0,2.0,51.0,146
5,5,Whitefield,2,1170.0,2.0,38.0,224
6,6,Old Airport Road,4,2732.0,4.0,204.0,176
7,8,Marathahalli,3,1310.0,3.0,63.25,161
8,10,Whitefield,3,1800.0,2.0,70.0,224
9,12,7th Phase JP Nagar,2,1000.0,2.0,38.0,6
10,13,Gottigere,2,1100.0,2.0,40.0,82
11,14,Sarjapur,3,2250.0,3.0,148.0,193
12,15,Mysore Road,2,1175.0,2.0,73.5,166
13,16,Bisuvanahalli,3,1180.0,3.0,48.0,46
14,17,Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,184
15,19,others,2,1100.0,2.0,48.0,230
16,21,Binny Pete,3,1755.0,3.0,122.0,45
17,23,Bellandur,3,1767.0,3.0,103.0,40
18,24,Thanisandra,1,510.0,1.0,25.25,209
19,25,others,3,1250.0,3.0,56.0,230
20,26,Electronic City,2,660.0,1.0,23.1,74
21,27,Whitefield,3,1610.0,3.0,81.0,224
22,28,Ramagondanahalli,2,1151.0,2.0,48.77,187
23,29,Electronic City,3,1025.0,2.0,47.0,74
24,30,Yelahanka,4,3525.0,4.0,186.0,226
25,31,Bisuvanahalli,3,1075.0,2.0,35.0,46
26,32,Hebbal,3,1760.0,2.0,123.0,92
27,33,Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,184
28,34,Kasturi Nagar,3,1925.0,3.0,125.0,131
29,35,Kanakpura Road,2,700.0,2.0,36.0,127
30,36,Electronics City Phase 1,2,1070.0,2.0,45.5,76
31,37,Kundalahalli,3,1724.0,3.0,125.0,150
32,38,Chikkalasandra,3,1290.0,2.0,56.12,59
33,39,Uttarahalli,2,1143.0,2.0,45.0,216
34,40,Murugeshpalya,2,1296.0,2.0,81.0,165
35,41,Sarjapur  Road,3,1254.0,3.0,38.0,194
